gene,SetA,SetB,SetC,SetD,SetE,SetF
1002,1,1,0,0,0,1
1053,1,1,1,0,0,1
1222,1,1,0,0,0,0
13047,1,1,1,1,0,1
13048,1,1,1,1,0,1
13051,1,1,1,0,0,1
13068,1,1,0,0,0,1
13069,1,1,0,0,0,1
13087,1,1,1,0,0,1
13091,1,0,0,0,0,1
13177,1,1,0,0,0,1
1317,1,0,0,0,0,1
13195,1,1,1,0,0,1
13201,1,0,0,0,0,1
13217,1,1,1,0,0,1
13218,1,1,1,0,0,1
13266,1,0,0,0,0,0
13267,1,0,0,0,0,0
13279,1,0,0,0,0,0
13357,1,1,0,0,0,0
13411,1,1,0,0,0,1
13418,1,1,1,0,0,1
13419,1,1,1,0,0,1
13422,1,1,1,0,0,1
13433,1,1,1,0,0,1
1360,1,1,1,0,0,1
13626,1,1,1,0,0,1
13642,1,0,1,0,0,0
13655,1,1,1,0,0,1
13730,1,1,1,0,1,1
13916,1,1,1,0,1,1
1415,1,0,1,0,1,0
14223,1,0,1,0,1,1
14328,1,0,0,0,1,0
14332,1,0,1,1,1,0
14345,1,0,0,0,1,0
14348,1,0,1,1,1,0
14351,1,0,1,1,1,0
14419,1,1,1,1,1,1
1445,1,1,1,1,0,0
1446,1,1,1,1,1,1
1450,1,1,1,1,1,1
1451,1,1,1,1,0,0
14526,1,0,0,0,0,0
14534,1,1,1,1,1,1
14540,1,0,1,1,1,1
14580,1,1,0,0,0,1
14626,1,1,1,1,1,1
14705,1,0,0,0,0,0
1483,1,0,1,0,0,0
14854,1,0,0,0,1,0
1487,1,1,1,1,1,1
14911,1,1,1,1,1,1
14917,1,0,1,1,1,1
14922,1,1,1,1,1,1
14938,1,1,1,1,1,1
14982,1,1,1,1,1,1
15002,1,0,1,1,1,1
15022,1,1,1,1,1,1
15026,1,1,1,1,1,1
15055,1,1,1,1,1,1
15058,1,1,1,1,1,1
15070,1,1,1,1,1,1
15097,1,1,1,1,1,1
15100,1,1,1,1,1,0
15122,1,1,1,1,1,1
15154,1,0,1,1,0,0
15167,1,1,1,0,1,0
15195,1,1,1,1,1,1
15204,1,1,1,1,1,1
15209,1,1,1,1,1,1
15210,1,1,1,1,1,1
15219,1,1,1,1,1,1
15249,1,1,1,1,1,1
15267,1,0,1,1,0,1
15272,1,1,1,1,1,1
15318,1,1,1,1,1,1
15319,1,1,1,1,1,1
15322,1,1,1,1,1,1
15338,1,1,1,1,1,1
15348,1,1,0,1,1,1
15350,1,1,1,1,1,1
15359,1,1,1,0,1,0
15377,1,1,1,1,1,1
15402,1,1,1,1,1,1
15406,1,1,1,1,1,1
15524,1,1,1,1,1,1
15533,1,1,1,1,1,1
15644,1,1,1,1,1,0
15682,1,1,1,1,1,1
15712,1,1,1,1,1,0
15727,1,1,1,1,1,1
15798,1,1,1,1,1,1
15800,1,1,1,1,1,1
1585,1,1,1,1,0,0
1586,1,1,1,1,1,1
15872,1,0,1,1,0,0
15988,1,1,1,1,1,1
16032,1,1,1,1,1,1
16051,1,1,1,1,1,1
16052,1,1,1,1,1,1
16090,1,1,1,1,1,1
16092,1,1,1,1,1,1
16117,1,1,1,1,1,1
16126,1,1,1,1,1,1
16137,1,1,1,1,1,1
16152,1,1,1,1,1,1
16174,1,1,1,1,1,1
16221,1,1,1,1,1,1
16268,1,1,1,1,1,1
16285,1,1,1,1,1,1
16313,1,1,0,1,1,1
16386,1,1,1,1,1,1
16396,1,1,1,1,1,1
16424,1,1,1,1,1,1
16431,1,1,1,1,1,1
16451,1,1,1,1,1,1
16500,1,1,1,1,1,1
16516,1,0,0,0,1,0
16520,1,1,1,0,0,0
16532,1,1,1,1,1,1
16611,1,1,1,1,1,1
16650,1,1,1,1,1,1
16665,1,1,1,1,1,1
16736,1,1,1,1,1,1
16851,1,1,1,1,1,1
16865,1,1,1,1,1,1
168,1,1,1,1,1,0
17021,1,1,1,1,1,1
17174,1,1,1,1,1,1
17182,1,1,1,1,1,1
17256,1,1,1,1,1,1
17261,1,1,1,1,1,1
17279,1,0,0,1,0,0
17309,1,1,1,1,1,1
17365,1,0,0,0,0,0
17499,1,0,0,0,0,0
17859,1,1,1,0,1,1
17965,1,1,1,1,0,1
18100,1,1,0,1,1,1
18146,1,1,1,1,1,1
18162,1,1,1,1,1,1
18260,1,1,1,1,1,1
18463,1,0,1,0,1,0
18478,1,1,1,1,1,1
18613,1,1,1,1,1,1
18632,1,0,0,1,0,0
18650,1,1,1,1,1,1
18651,1,1,0,0,1,0
18659,1,1,1,1,1,1
18660,1,1,1,1,1,1
18670,1,0,0,0,1,0
18790,1,0,1,0,0,0
18826,1,0,1,1,1,0
18827,1,0,1,1,1,0
18833,1,1,1,1,1,1
18834,1,1,1,1,1,1
18905,1,1,1,1,1,1
18906,1,1,1,1,1,1
18916,1,1,1,1,1,1
18969,1,0,1,0,1,1
19082,1,0,0,1,0,0
19108,1,1,0,1,0,0
19115,1,1,0,1,0,0
19217,1,1,1,0,1,1
19220,1,1,1,1,1,1
19313,1,0,0,0,0,0
19337,1,0,0,0,1,0
19341,1,0,0,1,1,0
19364,1,0,0,0,1,0
19397,1,0,1,0,1,0
19406,1,0,0,0,0,0
19457,1,1,0,1,0,0
19645,1,1,1,0,1,1
19758,1,1,1,1,1,1
19953,1,1,1,1,1,1
20079,1,0,1,1,1,1
2009,1,1,1,1,1,1
2010,1,1,1,1,1,1
20242,1,1,1,1,1,1
20243,1,1,1,1,1,1
20380,1,1,1,1,1,1
20401,1,1,1,0,1,0
20545,1,1,1,1,0,0
20558,1,0,1,0,1,0
20559,1,1,1,1,1,1
21080,1,1,1,0,1,0
21136,1,0,0,0,1,0
21203,1,1,1,1,1,1
21213,1,1,0,0,0,1
21439,1,1,1,1,1,1
21440,1,1,1,0,1,1
21528,1,0,0,0,1,0
21529,1,1,1,1,1,1
21540,1,1,1,1,1,1
21635,1,1,1,1,0,1
21636,1,1,1,1,0,1
21677,1,0,0,0,1,1
21684,1,1,1,1,1,1
21687,1,1,1,1,1,1
21690,1,1,0,0,1,1
21693,1,1,1,1,1,0
21694,1,1,1,1,1,1
21702,1,1,0,1,1,1
21718,1,0,0,0,0,0
21757,1,1,1,1,1,1
22083,1,1,1,1,1,1
22620,1,1,1,1,1,1
22759,1,1,1,1,1,1
2275,1,1,0,0,1,1
22805,1,1,1,1,1,1
22806,1,1,1,1,1,1
22808,1,1,1,1,1,1
22809,1,1,1,1,1,1
22810,1,1,1,1,1,1
22811,1,0,1,1,1,1
22818,1,1,1,1,1,1
22820,1,1,1,1,1,1
22821,1,1,1,1,1,1
22822,1,1,1,1,1,1
22823,1,1,1,1,1,1
22824,1,1,1,1,1,1
22825,1,1,1,1,1,1
22826,1,1,1,1,1,1
22835,1,1,1,1,1,1
22836,1,1,1,1,1,1
22839,1,1,1,1,1,1
22840,1,1,1,1,1,1
22845,1,1,1,1,1,1
22846,1,1,1,1,1,1
22847,1,1,1,1,1,1
22848,1,1,1,1,0,1
22851,1,1,1,1,1,1
22857,1,1,1,1,1,1
22858,1,1,1,1,1,1
22859,1,1,1,1,1,1
22862,1,1,1,1,1,1
22863,1,1,1,0,1,1
22866,1,1,1,1,1,1
22868,1,1,1,1,1,1
22869,1,1,1,1,1,1
22870,1,1,1,1,1,1
22873,1,1,1,1,1,1
22875,1,1,1,1,1,1
22876,1,1,1,1,1,1
22877,1,1,1,1,1,1
22879,1,1,1,1,1,1
22883,1,1,1,1,1,0
22885,1,1,1,1,1,1
22886,1,1,1,1,1,1
2288,1,1,1,1,1,0
22890,1,1,1,1,1,1
22892,1,1,1,1,1,1
22893,1,1,1,1,1,1
22894,1,1,1,1,1,1
22895,1,1,1,1,1,1
22908,1,1,1,1,1,1
22909,1,1,1,1,1,1
22910,1,1,1,1,1,1
22911,1,1,1,1,1,1
22912,1,1,1,1,1,1
22913,1,1,1,1,1,1
22914,1,1,1,1,1,1
22916,1,0,0,1,0,0
22917,1,1,1,1,1,1
22919,1,1,1,1,1,1
22920,1,1,1,1,1,1
22921,1,1,1,1,1,1
22922,1,1,1,1,1,1
22923,1,1,1,1,1,1
22925,1,1,1,1,1,1
22926,1,1,1,1,1,1
22931,1,1,1,1,1,1
22933,1,0,0,1,1,0
22934,1,1,1,1,1,1
22935,1,0,0,1,1,0
22936,1,0,0,1,1,0
22938,1,1,1,1,1,1
22940,1,1,1,1,1,1
22941,1,1,1,1,1,1
22943,1,1,1,1,1,1
22947,1,1,1,1,1,1
22949,1,1,1,1,1,1
22950,1,1,1,1,1,1
22951,1,1,1,1,1,1
22953,1,1,1,1,1,1
22954,1,0,1,1,0,0
22955,1,1,1,1,1,1
22956,1,1,1,1,1,1
22959,1,1,1,1,1,1
22960,1,1,1,1,1,1
22961,1,1,1,1,1,1
22981,1,1,1,1,1,1
22982,1,1,1,1,1,1
22983,1,1,1,1,1,1
23060,1,1,1,0,1,1
23118,1,1,1,1,1,1
23119,1,0,1,1,1,0
23145,1,0,0,1,1,0
23203,1,1,1,1,1,1
23401,1,1,1,1,1,1
23403,1,0,0,0,1,1
23404,1,1,0,0,0,0
23405,1,1,0,0,0,0
23417,1,0,0,0,0,0
23426,1,1,1,0,1,1
23526,1,1,1,1,1,1
23549,1,0,0,0,0,1
23630,1,1,1,0,1,1
23663,1,0,0,0,1,0
23730,1,0,0,0,1,0
23735,1,1,0,0,0,0
23740,1,0,0,0,0,0
23750,1,0,0,0,0,0
23864,1,1,1,1,0,0
2391,1,1,1,1,1,1
23953,1,0,0,1,1,0
23976,1,1,1,1,1,1
24131,1,1,1,0,0,0
24194,1,0,0,0,1,1
24440,1,0,0,0,1,0
24447,1,1,1,1,1,1
24450,1,0,0,0,1,0
24451,1,1,0,0,1,0
24452,1,1,1,0,1,1
24522,1,1,1,0,0,1
24523,1,1,1,1,1,1
24524,1,1,1,1,1,1
2478,1,1,1,1,1,1
24834,1,1,0,1,0,0
248,1,0,0,0,1,0
249,1,1,1,1,1,1
250,1,0,1,1,1,1
251,1,1,1,1,1,1
25209,1,0,1,1,1,0
25249,1,0,0,0,1,0
25250,1,0,0,0,1,0
252,1,1,1,1,1,1
25339,1,1,1,1,1,1
25489,1,1,1,1,1,1
254,1,0,0,0,1,0
25564,1,1,0,0,1,1
25616,1,1,0,0,1,1
25698,1,1,1,0,0,1
25726,1,0,0,1,0,0
25755,1,0,1,1,1,0
259,1,0,0,0,1,0
26049,1,1,1,1,1,1
26051,1,1,1,1,1,1
26064,1,1,0,0,1,1
26182,1,0,1,1,1,1
26237,1,1,0,0,1,0
26244,1,1,0,0,1,1
26246,1,0,0,0,1,0
26270,1,1,1,1,1,1
26271,1,1,1,1,1,1
26335,1,0,1,0,1,0
26548,1,0,1,1,0,0
26645,1,1,1,1,1,1
26646,1,1,1,1,1,1
26647,1,1,1,1,1,1
26658,1,1,1,0,1,1
26702,1,1,1,1,1,1
26703,1,1,1,1,1,1
26727,1,0,0,0,0,1
26755,1,1,1,1,1,1
26765,1,1,1,1,1,1
26766,1,1,1,1,1,1
26767,1,1,1,1,1,1
26768,1,1,1,1,1,1
27001,1,0,0,0,0,0
27011,1,1,1,0,1,1
27012,1,1,0,1,1,1
27014,1,0,0,1,0,0
27285,1,0,0,0,0,0
2745,1,1,1,0,1,0
